region_name,year,month,t2m,stl1,stl2,ssr,tp,swvl1,swvl2,LST_Night,EVI,LAI,LST_Day,NDVI,FPAR
Poltavska,2010,3,276.5950874709411,277.36188657405813,277.2519592409144,10635102.673000325,0.0008904411181667,0.3457827673663278,0.3474123479815806,266.3094032202404,0.0681177383683654,0.0036957885480483,276.1088770960885,0.1912440766868709,0.0221705131172575
Poltavska,2010,4,283.6970565241572,284.0980787293073,283.5067341941224,14755818.599111702,0.0009073233373567,0.2976217821554748,0.2980802632994296,277.559814214144,0.1729687879346009,0.0165514190877497,296.0691235757894,0.3498074414797978,0.0830482891776587
Poltavska,2010,5,291.0347813249928,291.5359281045772,290.3474676419789,17502033.463020124,0.0016851523823724,0.2343037936821763,0.2291759784360267,284.8988356549494,0.3164615095394727,0.0507768373694395,300.62045163688884,0.5126508785786594,0.1777406678687057
Poltavska,2010,6,296.47868680583383,297.5178441873563,296.2838714564308,19755509.42428115,0.0025886245842895,0.2244482456658534,0.2118555909482036,272.4709640558795,0.392831957653442,0.0742251801325297,301.7784621229139,0.5699367797252157,0.2376506317571305
Poltavska,2010,7,298.66773609554497,299.4198358552192,298.3812582940716,19227009.77436592,0.0017608830778178,0.2602569150369609,0.2645599125096979,292.4110898643994,0.3586910245240824,0.0870453860838878,304.3745342287776,0.5313354208142048,0.2494485002149733
Poltavska,2010,8,300.2927735691332,302.20457950751074,301.4154072438503,19000049.06637493,0.0001153973319028,0.1401911932893469,0.1596788597792759,288.3423039471799,0.1929797297364181,0.036419759270113,303.2629012716044,0.3449969609933511,0.1654833893474121
Poltavska,2010,9,291.9189582689996,293.75535060723365,294.18923296458286,13108775.578296045,0.0018248970012036,0.1772637724005779,0.1596568837486357,279.1227123058743,0.1462987669468839,0.0162205320238789,227.97384550308388,0.3240153685901917,0.0930978855031087
Poltavska,2010,10,281.7790888384679,283.13538082308656,284.3167782490294,6930946.007056496,0.0015433739409404,0.3125702601631357,0.2924282630635132,272.8656988101004,0.1396368488258791,0.010669397961192,269.9223322817869,0.3263587198262893,0.0790284817078006
Poltavska,2011,3,275.4140224902669,275.4529024142064,274.9041680344815,10611803.69891095,0.0004580708673503,0.317536050519094,0.3155366772199989,270.209482416308,0.1050181915185916,0.0078483948314153,275.4598702723059,0.2672373913817781,0.0490900615044242
Poltavska,2011,4,282.5553836938322,282.7233907351553,282.02704152388026,14952519.910707977,0.0017923469637865,0.3200883537034867,0.3186369645427542,272.4341177172301,0.1781579310886726,0.016868977180887,256.51683667454256,0.3510648308939301,0.0814975505213517
Poltavska,2011,5,290.33048363245564,290.59404132455336,289.37936751911604,18374800.261192743,0.001321619901477,0.266312881865264,0.2652305035126989,285.2837716929588,0.3078449035125939,0.0585923186035155,307.20742185278715,0.5060073477520276,0.1924565144461842
Poltavska,2011,6,295.54894821611884,296.6942649974318,295.5047684884746,19715957.53366849,0.0018488864104565,0.2068215931755812,0.1915565804967592,244.85245799940017,0.4350596975208725,0.0823153668855959,290.6847312427626,0.5983553340442461,0.2397356556195992
Poltavska,2011,7,299.12177584743085,300.64287073186614,299.11541687109764,19928446.075681712,0.0004710163957188,0.1723905116612321,0.1764682590692407,290.2616922298861,0.4087142091082925,0.1038235980410038,300.4295970634188,0.5811842379338464,0.2644705704710723
Poltavska,2011,8,296.05689451657054,297.91862394651974,297.5933739437142,16701273.743645484,0.0009548266385393,0.1769643329088165,0.1712927033259812,285.94441100322166,0.2817233070827677,0.0628227178410157,302.05422720751585,0.4566925796144865,0.2182093628848942
Poltavska,2011,9,291.91546832735054,293.6064346186516,293.9250991284481,13304077.135627933,0.0005344815479378,0.1661945243617967,0.1619676010207122,280.96151337643977,0.1623098330065318,0.023923200880573,297.91931507287734,0.3101780061498583,0.128431847541472
Poltavska,2011,10,283.67408303789404,285.1722836679712,286.2300655170895,7607668.137304855,0.0009110522773437,0.2208463594120547,0.1818948893581624,269.3667942456183,0.1138048841829502,0.0090232280539716,284.846124005822,0.2645880269972051,0.0677190037131995
Poltavska,2012,3,275.3776580495881,275.54370560217046,274.92663474118336,10134496.625243796,0.0011307962932322,0.3102881755273423,0.2962713000412244,269.3136022367038,0.0756873095227102,0.0066645850437435,273.6886064467213,0.204959936041415,0.0356164724359841
Poltavska,2012,4,286.1772466022903,286.14584877121297,284.87154689675185,16084827.959194755,0.0009429763121239,0.2847531636750944,0.2780625878993311,278.61723242549164,0.1837603308636334,0.0199870248049666,302.13797059258127,0.3542373850201619,0.0896728894013984
Poltavska,2012,5,293.8773562773825,294.89381651965493,293.6428011315494,18096660.110726997,0.0021947355784691,0.2106566078724507,0.2012010535299603,275.3425303182932,0.3073736128590177,0.0561288451799525,302.0329060079839,0.5110569265525322,0.1895525851489066
Poltavska,2012,6,296.9576062862059,298.4426666462387,297.0261071406124,21317693.32736492,0.0005374801688805,0.1936970154453209,0.2066924659896628,289.9070906349133,0.3736858123748388,0.0834545579366453,306.3405423277836,0.5491966558560996,0.2476664707469703
Poltavska,2012,7,300.0512595874356,302.15673603197706,300.7411830585523,21268999.735193107,0.000526402162433,0.1563267009796165,0.1544105271249401,291.8487126701762,0.3215308975100791,0.0725341188429607,303.57879388153697,0.4933762887474006,0.2264387264317213
Poltavska,2012,8,297.46057025050715,299.5141433386342,299.2118930682499,16962175.77862575,0.0020396204542735,0.1942216965750076,0.1729893910372445,287.32081625644673,0.2161945929057498,0.0354644859218769,265.8192556466392,0.4027242461029832,0.1554602333937035
