region_id,region_name,year,crop_id,area,production,yield
UA00,Ukraine,2015,140,1754.7,50071.7,28.5
UA00,Ukraine,2015,160,149.2,3867,25.9
UA00,Ukraine,2015,211,6839.5,265321,38.8
UA00,Ukraine,2015,213,2805.2,82883.8,29.5
UA00,Ukraine,2015,214,150.8,3910.7,25.9
UA00,Ukraine,2015,215,210.5,4885.1,23.2
UA00,Ukraine,2015,216,4083.5,233275.7,57.1
UA00,Ukraine,2015,220,127.7,1281,10
UA00,Ukraine,2015,222,237,103307.5,435.8
UA00,Ukraine,2015,231,5166.2,111811.2,21.6
UA00,Ukraine,2015,232,671.1,17376,25.9
UA00,Ukraine,2015,233,2135.6,39306,18.4
UA00,Ukraine,2015,240,112.8,2132.6,18.9
UA00,Ukraine,2015,250,11.7,625.1,53.4
UA00,Ukraine,2015,270,246.7,5021.3,20.4
UA00,Ukraine,2016,30,14337.1,660880.3,46.1
UA00,Ukraine,2016,50,6002.5,253207,42.2
UA00,Ukraine,2016,80,186.6,7226.5,38.7
UA00,Ukraine,2016,130,1004.2,36375.2,36.2
UA00,Ukraine,2016,140,1855,57981.9,31.3
UA00,Ukraine,2016,160,142.8,3891.9,27.3
UA00,Ukraine,2016,211,6189.1,260433.5,42.1
UA00,Ukraine,2016,213,2859.2,94357.1,33
UA00,Ukraine,2016,214,143.6,3915.6,27.3
UA00,Ukraine,2016,215,208.6,4998.9,24
UA00,Ukraine,2016,216,4252.2,280746.1,66
UA00,Ukraine,2016,220,153.7,1764.3,11.5
UA00,Ukraine,2016,222,291.1,140113,481.5
UA00,Ukraine,2016,231,6086.7,136268.9,22.4
UA00,Ukraine,2016,232,449.3,11539.1,25.7
UA00,Ukraine,2016,233,1859.4,42769.9,23
UA00,Ukraine,2016,240,107.7,1896.7,17.6
UA00,Ukraine,2016,250,12,647,53.9
UA00,Ukraine,2016,270,320.6,8765.5,27.3
UA00,Ukraine,2017,30,14560.3,619166.6,42.5
UA00,Ukraine,2017,50,6160.8,253984.5,41.2
UA00,Ukraine,2017,80,200.4,7595.3,38
UA00,Ukraine,2017,130,885,30410.1,34.4
